id,insee_code,start_datetime,end_datetime,name,successors,ancestors,parents,population,insee_modification
COM01001@1942-01-01,01001,1942-01-01 00:00:00,9999-12-31 23:59:59,L'Abergement-Clémenciat,,,DEP01@1860-07-01,767,0
COM01002@1942-01-01,01002,1942-01-01 00:00:00,9999-12-31 23:59:59,L'Abergement-de-Varey,,,DEP01@1860-07-01,236,0
COM01005@1942-01-01,01005,1942-01-01 00:00:00,9999-12-31 23:59:59,Ambérieux-en-Dombes,,,DEP01@1860-07-01,1635,0
COM01006@1942-01-01,01006,1942-01-01 00:00:00,9999-12-31 23:59:59,Ambléon,,,DEP01@1860-07-01,108,0
COM01007@1942-01-01,01007,1942-01-01 00:00:00,9999-12-31 23:59:59,Ambronay,,,DEP01@1860-07-01,2503,0
COM01008@1942-01-01,01008,1942-01-01 00:00:00,9999-12-31 23:59:59,Ambutrix,,,DEP01@1860-07-01,744,0
COM01009@1942-01-01,01009,1942-01-01 00:00:00,9999-12-31 23:59:59,Andert-et-Condon,,,DEP01@1860-07-01,337,0
COM01010@1942-01-01,01010,1942-01-01 00:00:00,9999-12-31 23:59:59,Anglefort,,,DEP01@1860-07-01,1108,0
COM01011@1942-01-01,01011,1942-01-01 00:00:00,9999-12-31 23:59:59,Apremont,,,DEP01@1860-07-01,394,0
COM01012@1942-01-01,01012,1942-01-01 00:00:00,9999-12-31 23:59:59,Aranc,,,DEP01@1860-07-01,314,0
COM01013@1942-01-01,01013,1942-01-01 00:00:00,9999-12-31 23:59:59,Arandas,,,DEP01@1860-07-01,158,0
COM01014@1942-01-01,01014,1942-01-01 00:00:00,9999-12-31 23:59:59,Arbent,,,DEP01@1860-07-01,3410,0
COM01016@1942-01-01,01016,1942-01-01 00:00:00,9999-12-31 23:59:59,Arbigny,,,DEP01@1860-07-01,427,0
COM01017@1942-01-01,01017,1942-01-01 00:00:00,9999-12-31 23:59:59,Argis,,,DEP01@1860-07-01,422,0
COM01019@1942-01-01,01019,1942-01-01 00:00:00,9999-12-31 23:59:59,Armix,,,DEP01@1860-07-01,21,0
COM01022@1942-01-01,01022,1942-01-01 00:00:00,9999-12-31 23:59:59,Artemare,,,DEP01@1860-07-01,1175,0
COM01023@1942-01-01,01023,1942-01-01 00:00:00,9999-12-31 23:59:59,Asnières-sur-Saône,,,DEP01@1860-07-01,69,0
COM01024@1942-01-01,01024,1942-01-01 00:00:00,9999-12-31 23:59:59,Attignat,,,DEP01@1860-07-01,3260,0
